Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numenta,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.500982666016,0.584031236183,10,13523,8,1575,15866
numenta,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.500982666016,-1.13844919792,1,3026,0,401,4032
numenta,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.500982666016,-2.18575982814,1,4029,6,529,5315
numenta,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.500982666016,0.169585710808,1,3018,7,402,4032
numenta,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.500982666016,1.38603136566,2,3023,3,400,4032
numenta,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.500982666016,-2.06127987311,1,1408,2,189,1882
numenta,reward_low_FN_rate,realTraffic/speed_7578.csv,0.500982666016,0.28230009211,3,839,3,113,1127
numenta,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.500982666016,2.01624336134,3,3082,0,343,4032
numenta,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.500982666016,0.640045825534,1,1153,2,152,1538
numenta,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.500982666016,-1.42971352049,2,3544,3,472,4730
numenta,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.500982666016,0.0,0,3428,0,0,4032
numenta,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.500982666016,-2.0,0,3025,0,403,4032
numenta,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.500982666016,-0.326183499982,2,1155,0,151,1538
numenta,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.500982666016,-0.403582582871,2,1231,1,163,1643
numenta,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.500982666016,0.0,0,3428,0,0,4032
numenta,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.500982666016,-0.0553973359255,3,13494,7,1577,15831
numenta,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.500982666016,2.67388028724,11,19668,9,2257,22695
numenta,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.500982666016,2.3542960628,4,13511,3,1583,15851
numenta,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.500982666016,0.748908670438,2,3024,1,401,4032
numenta,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.500982666016,0.53241650019,1,3022,3,402,4032
numenta,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.500982666016,1.45842028816,6,8534,1,1029,10320
numenta,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.500982666016,-1.12395492855,1,930,1,125,1243
Totals,,,,16.0528514449,168,299147,200,33327,365558
